Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
71,Frank Castillo,2004-02-20,Boston Red Sox,ATL,35,2.0,11,185,337,7,37,0,13,0,13,.110,.142,.110,.252,82,103,4.55,1.355,294,267,2,1590.0,1655,190,500,1097,castifr01
72,Russ Johnson,2004-02-19,Chicago Cubs,NYM,31,1.3,6,342,818,112,217,14,97,16,104,.265,.349,.375,.724,,,,,,,,,,,,,johnsru01
73,Chris Michalak,2004-02-19,Milwaukee Brewers,CIN,33,2.0,3,7,3,0,1,0,0,0,0,.333,.333,1.000,1.333,8,11,4.66,1.631,53,18,1,156.1,186,21,69,77,michach01
74,Brian Rose,2004-02-19,Cincinnati Reds,KCR,28,-0.3,6,,,,,,,,,,,,,,,,,,,,,,,,,rosebr01
75,Randall Simon,2004-02-19,Pittsburgh Pirates,CHC,29,1.7,6,445,1396,156,414,46,221,2,62,.297,.328,.446,.774,,,,,,,,,,,,,simonra01
76,Doug Creek,2004-02-18,St. Louis Cardinals,TOR,35,0.2,8,85,5,1,1,0,0,0,0,.200,.200,.200,.400,7,14,5.19,1.603,259,3,1,267.0,236,42,192,274,creekdo01
77,Dave Elder,2004-02-17,Atlanta Braves,CLE,28,0.1,2,0,0,0,0,0,0,0,0,,,,,1,3,4.62,1.618,19,0,0,25.1,23,3,18,26,elderda01
78,Randy Keisler,2004-02-17,New York Mets,HOU,28,-0.6,3,4,4,0,0,0,0,0,0,.000,.000,.000,.000,2,3,7.62,1.842,16,13,0,67.1,75,16,49,47,keislra01
79,Brian Moehler,2004-02-17,Atlanta Braves,HOU,32,0.1,8,20,30,1,0,0,0,0,2,.000,.063,.000,.063,50,56,4.57,1.420,144,143,0,866.0,986,110,244,469,moehlbr01
80,Kevin Nicholson,2004-02-17,Pittsburgh Pirates,PIT,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,nichode01
81,Doug Glanville,2004-02-16,Philadelphia Phillies,CHC,33,2.3,8,1028,3802,532,1066,57,319,160,200,.280,.318,.385,.703,,,,,,,,,,,,,glanvdo01
82,Craig Wilson,2004-02-16,Chicago Cubs,NYY,33,,5,,,,,,,,,,,,,,,,,,,,,,,,,wilsocr02
83,Nelson Cruz,2004-02-14,Florida Marlins,COL,31,0.7,6,125,33,1,3,0,2,0,1,.091,.118,.121,.239,15,23,5.04,1.372,204,18,2,348.1,369,59,109,277,cruzne01
84,Carlos Febles,2004-02-14,Boston Red Sox,KCR,28,-0.7,6,506,1656,255,414,24,146,68,163,.250,.328,.354,.683,,,,,,,,,,,,,febleca01
85,Orlando Merced,2004-02-14,Pittsburgh Pirates,HOU,37,0.6,13,1391,3998,564,1108,103,585,57,487,.277,.355,.426,.781,,,,,,,,,,,,,merceor01
86,Robert Ellis,2004-02-13,Cleveland Indians,TEX,33,-0.8,4,20,26,2,4,0,1,0,1,.154,.185,.154,.339,7,7,6.03,1.576,29,21,0,118.0,138,20,48,54,ellisro02
87,Matt Miller,2004-02-13,Cleveland Indians,COL,32,0.1,1,4,0,0,0,0,0,0,0,,,,,0,0,2.08,1.615,4,0,0,4.1,5,0,2,5,millema02
88,Rodney Myers,2004-02-13,Los Angeles Dodgers,LAD,35,-1.3,8,161,18,2,3,0,1,0,0,.167,.167,.222,.389,7,5,5.11,1.574,166,1,1,237.2,264,28,110,160,myersro01
89,John Mabry,2004-02-12,St. Louis Cardinals,SEA,33,0.5,10,987,2679,304,721,69,344,7,210,.269,.325,.405,.729,,,,,,,,,,,,,mabryjo01
90,Rudy Seanez,2004-02-12,Kansas City Royals,CHC,35,0.1,12,205,4,1,0,0,0,0,1,.000,.200,.000,.200,17,17,4.54,1.437,284,0,11,287.1,253,31,160,287,seaneru01
91,Will Ohman,2004-02-11,Chicago Cubs,CHC,26,-0.3,2,17,2,0,0,0,0,0,0,.000,.000,.000,.000,1,1,7.80,1.867,17,0,0,15.0,18,2,10,14,ohmanwi01
92,Juan Alvarez,2004-02-10,New York Yankees,FLA,30,0.6,4,15,0,0,0,0,0,0,0,,,,,0,5,5.22,1.624,80,0,0,60.1,58,12,40,42,alvarju01
93,Midre Cummings,2004-02-10,Tampa Bay Devil Rays,CHC,32,0.0,9,436,1057,126,271,20,117,8,89,.256,.316,.381,.698,,,,,,,,,,,,,cummimi01
94,Denny Hocking,2004-02-10,Colorado Rockies,MIN,34,0.8,11,876,2204,273,556,25,215,36,188,.252,.310,.351,.661,,,,,,,,,,,,,hockide01
95,Ron Villone,2004-02-10,Seattle Mariners,HOU,34,-0.5,9,218,168,7,22,1,7,0,1,.131,.141,.179,.320,39,43,4.91,1.501,338,83,5,765.2,746,96,403,589,villoro01
96,Ricky Bottalico,2004-02-09,New York Mets,ARI,34,0.0,10,390,15,1,2,0,1,0,0,.133,.133,.267,.400,28,38,4.03,1.404,462,0,114,517.2,464,61,263,485,bottari01
97,Charles Gipson,2004-02-09,Tampa Bay Devil Rays,NYY,31,0.3,6,349,306,75,72,0,29,14,29,.235,.311,.327,.638,,,,,,,,,,,,,gipsoch01
98,Jason Middlebrook,2004-02-09,Anaheim Angels,NYM,29,0.1,3,22,18,2,3,0,1,0,1,.167,.211,.167,.377,4,4,5.33,1.429,24,8,0,77.2,75,8,36,55,middlja01
99,Luis Ordaz,2004-02-09,Tampa Bay Devil Rays,KCR,28,-0.3,6,205,438,51,96,0,30,12,34,.219,.276,.249,.524,,,,,,,,,,,,,ordazlu01
