Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
858,Jorge Posada,32,NYY,AL,137,131,119,1165.0,1014,933,75,6,4,.994,1,1,-2,-2,,7.79,7.36,C,posadjo01
859,Brian Powell,29,SFG,NL,1,1,0,4.2,5,3,2,0,0,1.000,,,0,0,,9.64,5.00,P,powelbr01
860,Jay Powell,31,TEX,AL,51,0,0,58.2,11,6,5,0,0,1.000,,,-1,-3,,1.69,0.22,P,powelja04
861,Todd Pratt,36,PHI,NL,40,37,33,336.0,287,275,11,1,7,.997,-2,-6,-2,-8,,7.66,6.98,C-1B,prattto02
862,Curtis Pride,34,NYY,AL,3,3,3,26.0,5,5,0,0,0,1.000,0,-14,2,92,,1.73,1.67,OF,pridecu01
863,Alex Prieto,27,MIN,AL,6,1,1,23.2,13,6,7,0,1,1.000,0,15,0,0,,4.94,2.17,2B-SS,prietal01
864,Tom Prince,38,TOT,AL,29,12,9,136.0,97,91,6,0,0,1.000,1,9,0,0,,6.42,3.34,C,princto01
865,Bret Prinz,26,TOT,ZZ,3,0,0,3.0,1,0,1,0,0,1.000,,,0,0,,3.00,0.33,P,prinzbr01
866,Mark Prior,22,CHC,NL,30,30,3,211.1,23,8,12,3,0,.870,,,-2,-2,,0.85,0.67,P,priorma01
867,Brandon Puffer,27,HOU,NL,13,0,0,21.0,8,0,8,0,0,1.000,,,1,10,,3.43,0.62,P,puffebr01
868,Albert Pujols,23,STL,NL,150,149,95,1274.0,582,538,40,4,34,.993,14,13,-3,-2,,4.08,3.30,OF-1B,pujolal01
869,Carlos Pulido,31,MIN,AL,7,1,0,15.2,2,0,2,0,0,1.000,,,0,0,,1.15,0.29,P,pulidca01
870,Nick Punto,25,PHI,NL,29,15,10,166.0,99,46,51,2,8,.980,3,20,5,37,,5.26,3.03,2B-SS-3B,puntoni01
871,J.J. Putz,26,SEA,AL,3,0,0,3.2,1,1,0,0,0,1.000,,,0,0,,2.45,0.33,P,putzjj01
872,Paul Quantrill,34,LAD,NL,89,0,0,77.1,21,2,19,0,3,1.000,,,2,5,,2.44,0.24,P,quantpa01
873,Ruben Quevedo,24,MIL,NL,9,8,0,42.2,10,2,8,0,0,1.000,,,2,9,,2.11,1.11,P,queveru01
874,Robb Quinlan,26,ANA,AL,34,20,14,197.2,166,151,13,2,15,.988,3,15,-1,-6,,7.47,4.82,1B-OF,quinlro01
875,Humberto Quintero,23,SDP,NL,11,7,3,58.1,55,52,2,1,1,.982,0,0,0,0,,8.33,4.91,C,quinthu01
876,Brad Radke,30,MIN,AL,33,33,3,212.1,50,17,32,1,0,.980,,,-1,-1,,2.08,1.48,P,radkebr01
877,Brady Raggio,30,ARI,NL,10,0,0,8.1,0,0,0,0,0,,,,-1,-24,,0.00,0.00,P,raggibr01
878,Tim Raines Jr.,23,BAL,AL,18,9,9,100.0,39,37,1,1,1,.974,4,44,2,24,,3.42,2.11,OF,raineti02
879,Aramis Ramirez,25,TOT,NL,159,156,152,1397.2,466,97,336,33,24,.929,-1,0,-2,-1,,2.79,2.72,3B,ramirar01
880,Erasmo Ramirez,27,TEX,AL,34,0,0,49.0,10,2,8,0,0,1.000,,,2,8,,1.84,0.29,P,ramirer01
881,Horacio Ramirez,23,ATL,NL,29,29,1,182.1,42,7,32,3,5,.929,,,-4,-4,,1.93,1.34,P,ramirho01
882,Julio Ramirez,25,ANA,AL,5,0,0,7.0,4,3,0,1,0,.750,0,69,2,342,,3.86,0.60,OF,ramirju02
883,Manny Ramirez,31,BOS,AL,128,126,99,1073.0,222,207,11,4,1,.982,-10,-11,-18,-20,,1.83,1.70,OF,ramirma02
884,Mario Ramos,25,TEX,AL,3,3,0,13.0,2,1,1,0,0,1.000,,,-1,-15,,1.38,0.67,P,ramosma01
885,Joe Randa,33,KCR,AL,129,127,103,1073.1,347,102,238,7,12,.980,2,2,-2,-2,,2.85,2.64,3B,randajo01
886,Scott Randall,27,CIN,NL,15,2,0,27.2,6,2,4,0,0,1.000,,,1,7,,1.95,0.40,P,randasc01
887,Steve Randolph,29,ARI,NL,50,0,0,60.0,9,4,5,0,1,1.000,,,3,10,,1.35,0.18,P,randost01
888,Cody Ransom,27,SFG,NL,12,5,5,62.1,27,9,17,1,7,.963,0,-2,1,21,,3.75,2.17,SS,ransoco01
889,Britt Reames,29,MON,NL,2,0,0,1.1,0,0,0,0,0,,,,0,0,,0.00,0.00,P,reamebr01
890,Jeff Reboulet,39,PIT,NL,80,62,53,581.2,359,137,218,4,52,.989,3,6,10,21,,5.49,4.28,2B-3B,rebouje01
891,Tim Redding,25,HOU,NL,33,32,0,176.0,38,6,30,2,2,.947,,,1,1,,1.84,1.09,P,redditi01
892,Mark Redman,29,FLA,NL,29,29,3,190.2,30,5,24,1,0,.967,,,1,1,,1.37,1.00,P,redmama01
893,Prentice Redman,23,NYM,NL,10,5,4,59.2,16,16,0,0,0,1.000,1,26,-4,-80,,2.41,1.60,OF,redmapr01
894,Tike Redman,26,PIT,NL,54,51,51,449.1,130,127,1,2,0,.985,-8,-22,-2,-5,,2.56,2.37,OF,redmaju01
