Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
499,Dennys Reyes*,22,CIN,NL,2,2,.500,3.79,65,1,12,0,0,2,61.2,53,30,26,5,39,1,72,3,1,5,277,123,3.90,1.492,7.7,0.7,5.7,10.5,1.85,reyesde01
500,Shane Reynolds,31,HOU,NL,16,14,.533,3.85,35,35,0,4,2,0,231.2,250,108,99,23,37,0,197,1,0,4,963,117,3.22,1.239,9.7,0.9,1.4,7.7,5.32,reynosh01
501,Armando Reynoso,33,ARI,NL,10,6,.625,4.37,31,27,1,0,0,0,167.0,178,90,81,20,67,7,79,6,1,7,730,105,5.06,1.467,9.6,1.1,3.6,4.3,1.18,reynoar02
502,Arthur Rhodes*,29,BAL,AL,3,4,.429,5.43,43,0,11,0,0,3,53.0,43,37,32,9,45,6,59,0,0,4,244,86,5.66,1.660,7.3,1.5,7.6,10.0,1.31,rhodear01
503,Brad Rigby,26,TOT,AL,4,6,.400,5.06,49,0,11,0,0,0,83.2,102,51,47,11,31,7,36,7,0,6,382,93,5.35,1.590,11.0,1.2,3.3,3.9,1.16,rigbybr01
504,Brad Rigby,26,OAK,AL,3,4,.429,4.33,29,0,5,0,0,0,62.1,69,31,30,5,26,7,26,5,0,3,278,106,4.83,1.524,10.0,0.7,3.8,3.8,1.00,rigbybr01
505,Brad Rigby,26,KCR,AL,1,2,.333,7.17,20,0,6,0,0,0,21.1,33,20,17,6,5,0,10,2,0,3,104,70,6.84,1.781,13.9,2.5,2.1,4.2,2.00,rigbybr01
506,Matt Riley*,19,BAL,AL,0,0,,7.36,3,3,0,0,0,0,11.0,17,9,9,4,13,0,6,0,2,0,59,65,10.32,2.727,13.9,3.3,10.6,4.9,0.46,rileyma01
507,Ricardo Rincon*,29,CLE,AL,2,3,.400,4.43,59,0,14,0,0,0,44.2,41,22,22,6,24,5,30,1,1,2,193,113,5.22,1.455,8.3,1.2,4.8,6.0,1.25,rincori01
508,David Riske,22,CLE,AL,1,1,.500,8.36,12,0,3,0,0,0,14.0,20,15,13,2,6,0,16,0,0,0,68,61,3.99,1.857,12.9,1.3,3.9,10.3,2.67,riskeda01
509,Todd Ritchie,27,PIT,NL,15,9,.625,3.49,28,26,0,2,0,0,172.2,169,79,67,17,54,3,107,4,0,7,716,132,4.18,1.292,8.8,0.9,2.8,5.6,1.98,ritchto01
510,Mariano Rivera,29,NYY,AL,4,3,.571,1.83,66,0,63,0,0,45,69.0,43,15,14,2,18,3,52,3,1,2,268,257,2.92,0.884,5.6,0.3,2.3,6.8,2.89,riverma01
511,Roberto Rivera*,30,SDP,NL,1,2,.333,3.86,12,0,3,0,0,0,7.0,6,4,3,1,3,0,3,0,0,1,30,115,5.42,1.286,7.7,1.3,3.9,3.9,1.00,riverro01
512,Todd Rizzo*,28,CHW,AL,0,2,.000,6.75,3,0,2,0,0,0,1.1,4,2,1,0,3,1,2,0,0,0,12,90,6.88,5.250,27.0,0.0,20.3,13.5,0.67,rizzoto01
513,Willis Roberts,24,DET,AL,0,0,,13.50,1,0,0,0,0,0,1.1,3,4,2,0,0,0,0,1,0,0,8,45,5.38,2.250,20.3,0.0,0.0,0.0,,roberwi01
514,John Rocker*,24,ATL,NL,4,5,.444,2.49,74,0,61,0,0,38,72.1,47,24,20,5,37,4,104,1,0,7,301,181,2.73,1.161,5.8,0.6,4.6,12.9,2.81,rockejo01
515,Felix Rodriguez,26,SFG,NL,2,3,.400,3.80,47,0,26,0,0,0,66.1,67,32,28,6,29,2,55,2,0,2,292,114,4.05,1.447,9.1,0.8,3.9,7.5,1.90,rodrife01
516,Frankie Rodriguez,26,SEA,AL,2,4,.333,5.65,28,5,10,0,0,3,73.1,94,47,46,11,30,2,47,4,0,1,334,88,5.19,1.691,11.5,1.4,3.7,5.8,1.57,rodrifr02
517,Nerio Rodriguez,28,TOR,AL,0,1,.000,13.50,2,0,1,0,0,0,2.0,2,3,3,2,2,0,2,0,0,0,10,42,17.13,2.000,9.0,9.0,9.0,9.0,1.00,rodrine01
518,Rich Rodriguez*,36,SFG,NL,3,0,1.000,5.24,62,0,8,0,0,0,56.2,60,33,33,8,28,5,44,1,0,1,255,82,4.95,1.553,9.5,1.3,4.4,7.0,1.57,rodriri02
519,Kenny Rogers*,34,TOT,MLB,10,4,.714,4.19,31,31,0,5,1,0,195.1,206,101,91,16,69,1,126,13,1,4,845,108,4.17,1.408,9.5,0.7,3.2,5.8,1.83,rogerke01
520,Kenny Rogers*,34,OAK,AL,5,3,.625,4.30,19,19,0,3,0,0,119.1,135,66,57,8,41,0,68,9,1,3,528,107,4.12,1.475,10.2,0.6,3.1,5.1,1.66,rogerke01
521,Kenny Rogers*,34,NYM,NL,5,1,.833,4.03,12,12,0,2,1,0,76.0,71,35,34,8,28,1,58,4,0,1,317,111,4.24,1.303,8.4,0.9,3.3,6.9,2.07,rogerke01
522,Mel Rojas,32,TOT,MLB,0,0,,18.00,13,0,5,0,0,0,14.0,22,28,28,6,9,1,10,5,0,1,79,27,10.28,2.214,14.1,3.9,5.8,6.4,1.11,rojasme01
523,Mel Rojas,32,TOT,NL,0,0,,14.09,8,0,3,0,0,0,7.2,10,12,12,3,5,1,4,2,0,1,40,34,9.92,1.957,11.7,3.5,5.9,4.7,0.80,rojasme01
524,Mel Rojas,32,LAD,NL,0,0,,12.60,5,0,2,0,0,0,5.0,5,7,7,3,3,1,3,0,0,0,23,37,11.53,1.600,9.0,5.4,5.4,5.4,1.00,rojasme01
525,Mel Rojas,32,DET,AL,0,0,,22.74,5,0,2,0,0,0,6.1,12,16,16,3,4,0,6,3,0,0,39,22,10.71,2.526,17.1,4.3,5.7,8.5,1.50,rojasme01
526,Mel Rojas,32,MON,NL,0,0,,16.88,3,0,1,0,0,0,2.2,5,5,5,0,2,0,1,2,0,1,17,30,6.88,2.625,16.9,0.0,6.8,3.4,0.50,rojasme01
527,Mike Romano,27,TOR,AL,0,0,,11.81,3,0,1,0,0,0,5.1,8,8,7,1,5,0,3,0,0,1,28,44,7.26,2.438,13.5,1.7,8.4,5.1,0.60,romanmi01
528,J.C. Romero*,23,MIN,AL,0,0,,3.72,5,0,3,0,0,0,9.2,13,4,4,0,0,0,4,0,0,0,39,140,2.31,1.345,12.1,0.0,0.0,3.7,,romerj.01
529,Rafael Roque*,27,MIL,NL,1,6,.143,5.34,43,9,7,0,0,1,84.1,96,52,50,16,42,1,66,4,1,4,386,85,5.67,1.636,10.2,1.7,4.5,7.0,1.57,roquera01
530,Jose Rosado*,24,KCR,AL,10,14,.417,3.85,33,33,0,5,0,0,208.0,197,103,89,24,72,1,141,5,0,9,882,129,4.39,1.293,8.5,1.0,3.1,6.1,1.96,rosadjo01
531,Brian Rose,23,BOS,AL,7,6,.538,4.87,22,18,1,0,0,0,98.0,112,59,53,19,29,2,51,2,0,0,433,103,5.56,1.439,10.3,1.7,2.7,4.7,1.76,rosebr01
532,Kirk Rueter*,28,SFG,NL,15,10,.600,5.41,33,33,0,1,0,0,184.2,219,118,111,28,55,2,94,2,0,2,804,80,5.01,1.484,10.7,1.4,2.7,4.6,1.71,rueteki01
533,Sean Runyan*,25,DET,AL,0,1,.000,3.38,12,0,2,0,0,0,10.2,9,4,4,2,3,1,6,1,0,2,45,149,5.57,1.125,7.6,1.7,2.5,5.1,2.00,runyase01
534,Ryan Rupe,24,TBD,AL,8,9,.471,4.55,24,24,0,0,0,0,142.1,136,81,72,17,57,2,97,12,1,4,614,108,4.78,1.356,8.6,1.1,3.6,6.1,1.70,rupery01
535,Glendon Rusch*,24,TOT,MLB,0,1,.000,12.60,4,0,2,0,0,0,5.0,8,7,7,1,3,0,4,1,0,0,26,43,6.53,2.200,14.4,1.8,5.4,7.2,1.33,ruschgl01
536,Glendon Rusch*,24,KCR,AL,0,1,.000,15.75,3,0,1,0,0,0,4.0,7,7,7,1,3,0,4,1,0,0,23,34,7.38,2.500,15.8,2.3,6.8,9.0,1.33,ruschgl01
537,Glendon Rusch*,24,NYM,NL,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,3,,3.13,1.000,9.0,0.0,0.0,0.0,,ruschgl01
538,B.J. Ryan*,23,TOT,MLB,1,0,1.000,3.10,14,0,3,0,0,0,20.1,13,7,7,0,13,1,29,0,0,1,82,154,2.20,1.279,5.8,0.0,5.8,12.8,2.23,ryanb.01
539,B.J. Ryan*,23,CIN,NL,0,0,,4.50,1,0,0,0,0,0,2.0,4,1,1,0,1,0,1,0,0,0,9,121,3.63,2.500,18.0,0.0,4.5,4.5,1.00,ryanb.01
540,B.J. Ryan*,23,BAL,AL,1,0,1.000,2.95,13,0,3,0,0,0,18.1,9,6,6,0,12,1,28,0,0,1,73,160,2.04,1.145,4.4,0.0,5.9,13.7,2.33,ryanb.01
541,Jason Ryan,23,MIN,AL,1,4,.200,4.87,8,8,0,1,0,0,40.2,46,23,22,9,17,0,15,3,0,0,182,105,6.75,1.549,10.2,2.0,3.8,3.3,0.88,ryanja04
542,Ken Ryan,30,PHI,NL,1,2,.333,6.32,15,0,5,0,0,0,15.2,16,11,11,2,11,2,9,0,0,1,71,77,5.75,1.723,9.2,1.1,6.3,5.2,0.82,ryanke01
